id,author_id,created_at,lang,tweet_type,source,source_link,retweet_count,favorite_count,quote_count,reply_count,linked_tweet,linked_user,sensitive,access
991726630103060483,987748224437030917,2018-05-02 17:10:28,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.914320033325261e+17,2207137254.0,False,2018-05-02 17:10:28
991727229876006915,954229325892608000,2018-05-02 17:12:51,en,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.916934176243343e+17,49946953.0,False,2018-05-02 17:12:51
991693417624334342,49946953,2018-05-02 14:58:30,en,tweet,TweetDeck,https://about.twitter.com/products/tweetdeck,7,13,0,1,,,True,2018-05-02 17:12:51
991728043566780418,982701088372592642,2018-05-02 17:16:05,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.913589885361193e+17,478170193.0,False,2018-05-02 17:16:05
991358988536119296,478170193,2018-05-01 16:49:36,tr,tweet,Twitter for iPhone,http://twitter.com/download/iphone,336,161,6,9,,,False,2018-05-02 17:16:05
991728060369121280,314024921,2018-05-02 17:16:09,en,retweet,Twitter Web Client,http://twitter.com,0,0,0,0,9.917192022086902e+17,2596413645.0,False,2018-05-02 17:16:09
991728303613661184,26900055,2018-05-02 17:17:07,en,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.917276993442447e+17,2596413645.0,False,2018-05-02 17:17:07
991729071162822656,1398840546,2018-05-02 17:20:10,en,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.917192022086902e+17,2596413645.0,False,2018-05-02 17:20:10
991729150879830016,948731155033067521,2018-05-02 17:20:29,en,retweet,Twitter Web Client,http://twitter.com,0,0,0,0,9.917046644030464e+17,954124423.0,False,2018-05-02 17:20:29
991730279135039489,837041296544002052,2018-05-02 17:24:58,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.881469011733299e+17,3089497123.0,False,2018-05-02 17:24:58
988146901173329921,3089497123,2018-04-22 20:05:54,tr,tweet,Twitter Web Client,http://twitter.com,23,24,0,0,,,False,2018-05-02 17:24:58
991725587860459520,23074563,2018-05-02 17:06:20,en,tweet,Twitter for iPhone,http://twitter.com/download/iphone,9,7,2,0,,,False,2018-05-02 17:30:27
991731659073642496,2610615528,2018-05-02 17:30:27,en,retweet,Twitter Lite,https://mobile.twitter.com,0,0,0,0,9.917255878604595e+17,23074563.0,False,2018-05-02 17:30:27
