author_id,tw_num,do_rt_num,get_rt_num
897768084714508289,1,0,1
898224650177662977,1,0,1
900259563907272704,1,1,0
90064632,1,1,0
903386195207626752,1,1,0
905403389466509313,1,1,0
908650936167526400,1,1,0
911604369551917061,1,1,0
913083595727683584,1,1,0
914008442364248065,1,1,0
915820505336356865,1,1,0
916205628363862016,1,0,1
919273451743076353,1,0,1
919622839556337664,5,3,0
924061988564684800,1,1,0
924171577,1,1,0
92460378,6,1,9
925605007482851328,1,0,0
926783183584145408,1,0,1
929420084682067969,1,1,0
931706188588339212,1,1,0
932250638439854080,1,1,0
932305909400907776,1,0,1
932891839312654336,1,1,0
933527721224916993,1,1,0
934091456981209088,1,0,1
937134500852645888,1,1,0
937391743678517249,1,1,0
940033190701367296,1,1,0
940163692854960128,1,1,0
941680316506411009,1,0,0
943924685259067392,1,1,0
944241782501597185,1,1,0
945534542424756226,1,1,0
946127206509527040,1,1,0
948731155033067521,1,1,0
950870829461594112,1,1,0
951192329070825473,1,0,0
954124423,8,0,25
954229325892608000,1,1,0
954662401412124677,1,1,0
955730343021219840,1,0,0
956610243940831233,1,1,0
956988729402560513,1,0,1
958807578133389318,1,0,1
959114422349369345,1,1,0
961669737125117952,1,1,0
962717507273490432,1,0,0
962800985180721152,1,0,1
963106200,1,0,1
963497411229442049,1,1,0
963508481780322304,1,0,0
965277900550410240,1,0,0
968014402552238080,1,1,0
970812182,1,1,0
971604575701565441,1,1,0
972018874014224384,1,0,1
975074658331627522,1,0,0
978145274,1,1,0
978254138470535168,1,1,0
978655495580999682,1,1,0
97885429,1,1,0
979785891060305920,1,1,0
980116740972695552,1,0,1
980747573077135360,1,1,0
981292975,1,1,0
981737728273534976,1,1,0
982669803444940800,1,1,0
982701088372592642,1,1,0
983491215860494336,1,1,0
985274562744119298,1,1,0
986830047599144960,1,1,0
987394916719431680,1,1,0
987748224437030917,1,1,0
987752531009916929,1,1,0
98996662,2,0,1
990276638997991424,1,1,0
991369146976931840,1,0,0
997894658,1,1,0
