source,target,weight
1257871477,954124423,1
1257911346,248829087,1
1257911346,526110917,1
1257911346,92460378,1
125857445,302111485,2
1258767608,954124423,1
1260592627,954124423,1
126103416,954124423,2
1261405470,954124423,1
1262946222,192768731,1
1265332538,3306484243,1
1265464230,954124423,2
1265697422,101510168,1
1265697422,66732993,1
126599757,805449024602075137,1
126666601,248829087,1
126666601,487834443,2
1266859124,165371594,1
1267565670,482838365,1
126758373,126758373,1
126758373,285994737,1
126758373,823516964,1
126758373,92460378,1
1267948406,3089155533,1
1268958265,214544700,1
1269586116,839567767695024128,1
1272358015,2422775929,1
1272358015,326003773,1
1272454735,3244921294,1
1273092397,2968412296,1
1276123177,954124423,1
1276203865,4346145681,1
1281818911,1728451099,1
1281930182,482838365,1
1281987872,302111485,1
1284292988,954124423,1
1284748195,200115775,1
1285647218,478170193,1
1285647218,482838365,1
1285647218,92460378,1
1288691947,3244921294,1
1288828908,855519745600311298,1
1289581219,954124423,1
1290301992,478170193,1
1290498072,954124423,1
129065921,302111485,1
1292037780,2778396034,1
1292046026,954124423,1
129271052,1135496646,1
129314386,232108392,1
129364027,302111485,1
1295517943,2983182323,1
1297002956,248829087,1
129949447,738153522277945344,1
1301159580,954124423,2
1303674536,1530736134,1
1306304431,302111485,1
130639993,3047998216,1
1310569981,954124423,1
131205866,92460378,1
131326812,305655577,1
131361119,804851761647218688,1
1314309738,372179642,1
1315554920,954124423,1
131781143,22657914,1
131781143,3089155533,1
131873529,2846074600,1
1318788516,954124423,1
131970415,954124423,1
1321492843,954124423,1
132416162,954124423,1
1324903004,954124423,1
1325863291,713819577159790592,1
1325863291,92460378,1
1327160293,954124423,1
1327735346,455264233,1
1329069787,1605836610,1
1329069787,326003773,1
1329069787,420542453,1
1330259419,954124423,2
1331245213,954124423,1
1331652110,954124423,1
13324682,4573876514,1
1332479737,302111485,1
133294380,305655577,1
133325325,954124423,2
1336094761,455264233,1
1338689466,2876754270,1
1339124106,455264233,1
1339495064,868673919166758913,1
1339944438,954124423,1
134229245,954124423,2
1344688860,92460378,1
1345941733,954124423,1
1346009221,954124423,1
1346102112,455264233,1
1346914404,107984182,1
1348228999,302111485,1
134850077,302111485,1
1348732255,147528633,2
1350351854,954124423,1
1352388895,2894398433,1
1353145668,954124423,2
1354595803,954124423,1
1354740978,19899606,1
1355024335,871828749238640641,1
1355088920,49946953,1
1356354349,954124423,1
1356406826,455264233,1
1356464082,954124423,1
1357735184,135623999,1
135943803,618011830,1
136057201,954124423,1
1363156836,954124423,1
136317730,3302455838,1
136317730,4346145681,1
1363297184,954124423,1
1363595460,455264233,3
136426984,302111485,1
1369459682,3244921294,1
1369591021,783303263168913408,1
1370345917,735086172,1
1370971824,2596413645,1
1370971824,954124423,1
1371167210,2659475605,1
137145948,2159335132,1
137222083,954124423,1
1372493532,3244921294,1
1374607968,2596413645,1
1375226216,954124423,1
1375609832,49946953,1
1376323016,92460378,1
137644518,455264233,1
1378058724,954124423,1
1380171,302111485,1
138057436,455264233,1
1382098238,2755430545,1
138320520,954124423,1
1384123903,1103715715,1
138499329,302111485,1
1385652836,119183782,1
1385652836,126758373,1
1386125294,954124423,1
138707415,305655577,1
1388366299,38976390,1
138889809,954124423,1
1389707664,2841998391,5
139070462,2380541912,1
139070462,768054459834462208,1
139070462,828177799412334592,1
139070462,831921710370869252,1
139070462,841771766393520128,1
139070462,865492166272888832,1
139087428,2970835618,1
139168308,92460378,1
139211767,954124423,1
139408401,954124423,1
1394319536,2205302725,1
139438330,954124423,1
1394791218,3244921294,1
139659661,954124423,1
139719874,954124423,1
1398042486,954124423,1
1398473348,302111485,1
1398644850,954124423,1
1398840546,2596413645,1
1400617332,305655577,1
