id,author_id,created_at,tweet_type
870203340638101504,3304105465,2017-06-01 09:00:18,retweet
870203361613684736,381214157,2017-06-01 09:00:23,retweet
870204137538965504,56546515,2017-06-01 09:03:28,retweet
870205307783331840,865448264388169728,2017-06-01 09:08:07,tweet
869976622916653057,49946953,2017-05-31 17:59:24,tweet
870206603806597120,2927236667,2017-06-01 09:13:16,retweet
870089248325677056,180113275,2017-06-01 01:26:56,tweet
870206683519352837,867053193171271686,2017-06-01 09:13:35,retweet
870207614654832642,791377928290459648,2017-06-01 09:17:17,retweet
870207807563460608,844099613900623872,2017-06-01 09:18:03,retweet
870084078078488576,478170193,2017-06-01 01:06:24,tweet
870209007146946560,4829167311,2017-06-01 09:22:49,retweet
870209984407023616,866626985065193472,2017-06-01 09:26:42,retweet
870053483424043008,275832196,2017-05-31 23:04:49,tweet
870210366105583616,38415042,2017-06-01 09:28:13,retweet
870211058165850112,2164702237,2017-06-01 09:30:58,retweet
870211901199966208,428163263,2017-06-01 09:34:19,retweet
870212031223300096,3041523664,2017-06-01 09:34:50,retweet
870212953978671104,2191354864,2017-06-01 09:38:30,retweet
869952366589734912,86665649,2017-05-31 16:23:01,tweet
870213071440105472,2443877819,2017-06-01 09:38:58,retweet
870211886767374336,772412234727391233,2017-06-01 09:34:16,tweet
870213679584866305,2287162969,2017-06-01 09:41:23,retweet
870214451332616192,3050594463,2017-06-01 09:44:27,retweet
870214623307460612,19104802,2017-06-01 09:45:08,retweet
869997598785978368,1880640066,2017-05-31 19:22:45,tweet
870214778517671937,517382199,2017-06-01 09:45:45,retweet
870217580321148929,499082549,2017-06-01 09:56:53,tweet
870217848739778560,861250234235723776,2017-06-01 09:57:57,retweet
870215047494107136,801369511274434560,2017-06-01 09:46:49,tweet
870218234628366338,2711486327,2017-06-01 09:59:29,retweet
870218809214468097,469333246,2017-06-01 10:01:46,retweet
870220478581010432,775417111296483329,2017-06-01 10:08:24,retweet
870220839278354437,3294058472,2017-06-01 10:09:50,tweet
870221451651014656,879401606,2017-06-01 10:12:16,retweet
870222076610830336,1545592274,2017-06-01 10:14:45,retweet
869109663241052161,2184794776,2017-05-29 08:34:25,tweet
870223133562642434,223067820,2017-06-01 10:18:57,retweet
870207250606022656,817323211922833409,2017-06-01 09:15:50,tweet
870223263573700608,846654731577708544,2017-06-01 10:19:28,retweet
870222982131707905,3244921294,2017-06-01 10:18:21,tweet
870224270223441920,2166887689,2017-06-01 10:23:28,retweet
870224433784307712,793628252288016384,2017-06-01 10:24:07,retweet
870019099882946560,3244921294,2017-05-31 20:48:12,tweet
870224744162963460,756426553148440576,2017-06-01 10:25:21,retweet
869875796420243456,2990393003,2017-05-31 11:18:46,tweet
870225411069935616,1827734442,2017-06-01 10:28:00,retweet
870226153461698560,3324079008,2017-06-01 10:30:57,retweet
870226514171879424,450601261,2017-06-01 10:32:23,tweet
870227168483311616,185664815,2017-06-01 10:34:59,retweet
870038256120848384,2659475605,2017-05-31 22:04:19,tweet
870227474671517696,1371167210,2017-06-01 10:36:12,retweet
870173523993477120,455264233,2017-06-01 07:01:49,tweet
870228057679941632,2573567150,2017-06-01 10:38:31,retweet
870228359665651714,870173094727610369,2017-06-01 10:39:43,retweet
870229701834485760,862836808945741825,2017-06-01 10:45:03,tweet
870230024816910336,769134990701502464,2017-06-01 10:46:20,retweet
870207909623463936,180113275,2017-06-01 09:18:27,tweet
870154584341303297,25506738,2017-06-01 05:46:34,tweet
870154790550081536,92460378,2017-06-01 05:47:23,tweet
870230310033797122,838071292607737856,2017-06-01 10:47:28,retweet
870231060810018816,833025586398363648,2017-06-01 10:50:27,retweet
870231576705081344,754501852616470528,2017-06-01 10:52:30,retweet
870123869188886529,760497714652151808,2017-06-01 03:44:31,tweet
870231991928713216,3201789399,2017-06-01 10:54:09,tweet
870232298129469440,865487761909833728,2017-06-01 10:55:22,retweet
869674440442957824,954124423,2017-05-30 21:58:39,tweet
870232793040781312,233700179,2017-06-01 10:57:20,retweet
870233212466941958,714572211298897921,2017-06-01 10:59:00,retweet
870108127458246656,3111909523,2017-06-01 02:41:58,tweet
870233388627742721,862836808945741825,2017-06-01 10:59:42,retweet
870233543829532672,2280927780,2017-06-01 11:00:19,retweet
870064724960055300,4858580423,2017-05-31 23:49:30,tweet
868380939981926400,3244921294,2017-05-27 08:18:44,tweet
870234076501884928,793628252288016384,2017-06-01 11:02:26,retweet
870234235881353216,2525915053,2017-06-01 11:03:04,retweet
855156662038138880,854949910336208896,2017-04-20 20:30:10,tweet
870234479138398208,829734079348273152,2017-06-01 11:04:02,retweet
870235024427106304,3086902329,2017-06-01 11:06:12,retweet
870235234142371842,702185395404955649,2017-06-01 11:07:02,tweet
870235586464034817,705165834524696577,2017-06-01 11:08:26,retweet
870101569114714112,868274776124657664,2017-06-01 02:15:54,tweet
870073410277199872,865448264388169728,2017-06-01 00:24:00,tweet
870238170138464257,2212883622,2017-06-01 11:18:42,retweet
869701623815303168,478170193,2017-05-30 23:46:40,tweet
801219722507419648,954124423,2016-11-23 00:24:02,tweet
870238258218795008,832247369420771328,2017-06-01 11:19:03,retweet
868403302593163265,843124666931822592,2017-05-27 09:47:36,tweet
870238878979981313,2212883622,2017-06-01 11:21:31,retweet
870239193557073920,752555380325113856,2017-06-01 11:22:46,retweet
870241743693893632,2898341650,2017-06-01 11:32:54,retweet
870241953421635585,823869074052616193,2017-06-01 11:33:44,retweet
870242997782405120,783019633515331585,2017-06-01 11:37:53,retweet
870214900953559041,2958422885,2017-06-01 09:46:14,tweet
870242997794942976,783019633515331585,2017-06-01 11:37:53,retweet
870214649823846401,2958422885,2017-06-01 09:45:14,tweet
870243233665867776,958020944,2017-06-01 11:38:49,tweet
870244348369219585,2160854654,2017-06-01 11:43:15,tweet
870245656975298562,761208956656254976,2017-06-01 11:48:27,retweet
870246378412421120,3670077737,2017-06-01 11:51:19,retweet
870051290285572096,180113275,2017-05-31 22:56:07,tweet
870247171098128384,790099592985583617,2017-06-01 11:54:28,retweet
870247355664224257,242029797,2017-06-01 11:55:12,retweet
870246377175080960,2303144886,2017-06-01 11:51:19,tweet
870247515068747777,746251631784763394,2017-06-01 11:55:50,tweet
870248056134000640,843433434332778496,2017-06-01 11:57:59,retweet
870245936844460032,757520254302035968,2017-06-01 11:49:34,tweet
870248286799536128,2873806249,2017-06-01 11:58:54,retweet
870249058534871040,1904362783,2017-06-01 12:01:58,retweet
870249905805197312,3310256775,2017-06-01 12:05:20,retweet
870242902873698304,4858580423,2017-06-01 11:37:31,tweet
870250010679627777,876843607,2017-06-01 12:05:45,retweet
870250576910667776,1536657750,2017-06-01 12:08:00,retweet
870251008907034625,3783068773,2017-06-01 12:09:43,retweet
870251281553780737,2187177274,2017-06-01 12:10:48,retweet
