id,original_tweet_id,retweeted_date,author_id,original_author_id,screen_name,original_screen_name
991731726169853958,991689003408740352,2018-05-02 17:30:43,2360103751,487834443,emticons,HasanCucuk
991732669879734272,991617533194227712,2018-05-02 17:34:28,860893303360954368,487834443,yogarkadas,HasanCucuk
991735995967180802,991617533194227712,2018-05-02 17:47:41,886837772123811840,487834443,tougherrr,HasanCucuk
991730279135039489,988146901173329921,2018-05-02 17:24:58,837041296544002052,3089497123,HuseyinU042,htmmbtr
991736532859056128,991708914029940736,2018-05-02 17:49:49,829476518,326003773,AskSehbal,osimsek_herkul
991736092452900864,991727699344244736,2018-05-02 17:48:04,2337543318,2596413645,GoekeRay,carrieksada
991734129501921280,991732943654703104,2018-05-02 17:40:16,29547555,954124423,JourneysNonnie,AmyMek
991732879590854656,991710689717817346,2018-05-02 17:35:18,175032813,954124423,dcariello1,AmyMek
991734829963100160,991727699344244736,2018-05-02 17:43:03,261749735,2596413645,steph93065,carrieksada
991737946326818816,991719202208690177,2018-05-02 17:55:26,4311982647,2596413645,Clayconboy1,carrieksada
991743516375216128,991314489885839360,2018-05-02 18:17:34,4126032687,869193235918454786,fienvcr,offensivemem3s_
991740194482278400,991737676507250693,2018-05-02 18:04:22,987752531009916929,1728451099,MarNolla1,KurdisCat
991742723626622976,991370923524673536,2018-05-02 18:14:25,915820505336356865,67813133,posy_merry,AfrinsNotAlone
991744560735948800,868018699617406976,2018-05-02 18:21:43,2653220806,4764985268,GorkemAmca,aklingozu
991745441535586304,991649284859879424,2018-05-02 18:25:13,769134990701502464,248829087,RamizKaraeski61,ahamitbilici
991746641127452672,991698547769774080,2018-05-02 18:29:59,780521650852884480,214544700,zlatnililjan387,bkenes
991746213308346368,991743899788967936,2018-05-02 18:28:17,738153522277945344,823571457649184768,dawg_lb,CodeOfPatriots
991746246841978881,991421192136519685,2018-05-02 18:28:25,2228890529,825682538416971778,zgazioglu2008,_NecdetG
